Proposal ID,Programme Name,Sub-Programme,Supplement,Lead Applicant,ORCID,Research Body,Research Body ROR ID,Funder Name,Crossref Funder Registry ID,Proposal Title,Start Date,End Date, Current Total Commitment 
12/RI/2331 (1),Research Infrastructure Programme,,,Fiona Regan,https://orcid.org/0000-0002-8273-9970,Dublin City University (DCU),https://ror.org/04a1a1e81,Science Foundation Ireland,10.13039/501100001602,Ocean Energy Test Bed,01/01/2013,30/06/2017,2299831
12/RI/2332 (1),Research Infrastructure Programme,,,Ian Marison,,The National Institute for Bioprocessing Research and Training (NIBRT),https://ror.org/04s8gft68,Science Foundation Ireland,10.13039/501100001602,Analytical Ultra Centrifuge,01/01/2013,31/12/2013,287439
12/RI/2333 (1),Research Infrastructure Programme,,,Paul Cotter,https://orcid.org/0000-0002-5465-9068,Teagasc,https://ror.org/03sx84n71,Science Foundation Ireland,10.13039/501100001602,Ion Torrent DNA Sequencing Platform,01/01/2013,31/12/2013,383975
12/RI/2333 (2),Research Infrastructure Programme,,,Kieran Meade,https://orcid.org/0000-0002-3051-8586,Teagasc,https://ror.org/03sx84n71,Science Foundation Ireland,10.13039/501100001602,BD Accuri® C6 flow cytometer,01/01/2013,31/12/2013,60265
12/RI/2334 (1),Research Infrastructure Programme,,,Jean-Christophe Desplat,https://orcid.org/0000-0002-6140-3466,University of Galway,https://ror.org/03bea9k73,Science Foundation Ireland,10.13039/501100001602,High-Performance Computing infrastructure,01/01/2013,31/12/2013,3700153
12/RI/2335 (2),Research Infrastructure Programme,,,Ambrose Furey,https://orcid.org/0000-0003-4119-4318,Munster Technological University (MTU),https://ror.org/013xpqh61,Science Foundation Ireland,10.13039/501100001602,ICP-HRMS mass spectrometer,01/01/2013,31/12/2013,384537
12/RI/2335 (3),Research Infrastructure Programme,,,Aidan Coffey,https://orcid.org/0000-0003-4116-9913,Munster Technological University (MTU),https://ror.org/013xpqh61,Science Foundation Ireland,10.13039/501100001602,MALDI-TOF mass spectrometer,01/01/2013,31/12/2013,155877
12/RI/2337 (1),Research Infrastructure Programme,,,William Donnelly,,South East Technological University (SETU),https://ror.org/03fgx6868,Science Foundation Ireland,10.13039/501100001602,FAME Testbed,01/01/2013,31/03/2014,1956246
12/RI/2337 (2),Research Infrastructure Programme,,,Peter McLoughlin,https://orcid.org/0000-0002-1185-9860,South East Technological University (SETU),https://ror.org/03fgx6868,Science Foundation Ireland,10.13039/501100001602,Glovebox-mounted Scanning Probe Microscope (SPM) system,01/01/2013,31/12/2013,338678
12/RI/2337 (4),Research Infrastructure Programme,,,Peter McLoughlin,https://orcid.org/0000-0002-1185-9860,South East Technological University (SETU),https://ror.org/03fgx6868,Science Foundation Ireland,10.13039/501100001602,Multifunctional Supercritical Fluid (SCF) and extrusion and injection moulding system,01/01/2013,31/12/2013,307401
12/RI/2337 (5),Research Infrastructure Programme,,,Peter McLoughlin,https://orcid.org/0000-0002-1185-9860,South East Technological University (SETU),https://ror.org/03fgx6868,Science Foundation Ireland,10.13039/501100001602,Next generation X-ray Micro Tomography (XMT) system,01/01/2013,31/12/2013,1076096
12/RI/2338 (2),Research Infrastructure Programme,,,Peter McHugh,https://orcid.org/0000-0001-9147-3652,University of Galway,https://ror.org/03bea9k73,Science Foundation Ireland,10.13039/501100001602,High Resolution MicroCT Scanner,01/01/2013,30/06/2014,294693
12/RI/2338 (4),Research Infrastructure Programme,,,Martin Leahy,https://orcid.org/0000-0003-1558-4574,University of Galway,https://ror.org/03bea9k73,Science Foundation Ireland,10.13039/501100001602,Lazr Label-free in vivo Microvascular Tomography,01/01/2013,30/06/2014,536231
12/RI/2338 (5),Research Infrastructure Programme,,,Vincent O'Flaherty,https://orcid.org/0000-0003-4785-1382,University of Galway,https://ror.org/03bea9k73,Science Foundation Ireland,10.13039/501100001602,Bioflux Microfluidics System for Cell Analysis under Shear,01/01/2013,31/12/2013,186074
